Student_ID,CGPA,Bachelors_Degree,Skills,Languages,Job_Experience,Duration_of_Internship_or_Job,Extra_Curricular,Research_Paper
1040,3.32,Data Science,"SQL, Operating Systems, Artificial Intelligence, Cloud Computing",C,Data Analyst,8 months,"Volunteering, Sports Club",No
1041,2.48,Information Technology,"Artificial Intelligence, DevOps, Cloud Computing, Data Structures & Algorithms (DSA), PostgreSQL","R, Ruby",Software Developer,10 months,Sports Club,No
1042,3.08,Data Science,"Cloud Computing, SQL, DevOps","C, Java, C++",Network Engineer,9 months,Music Club,No
1043,2.24,Data Science,"DevOps, SQL, Computer Networks, Web Development","Ruby, C++",Data Analyst,8 months,"Sports Club, Debating Society, Art Club",No
1044,2.49,Data Science,"PostgreSQL, DevOps, SQL","C, C++, JavaScript",Network Engineer,10 months,Student Government,Yes
1045,2.37,Computer Engineering,"SQL, Web Development, Machine Learning, DevOps",JavaScript,Network Engineer,10 months,"Art Club, Coding Club",Yes
1046,3.3,Artificial Intelligence,"Computer Networks, Machine Learning, PostgreSQL, Operating Systems, Web Development","Python, R, Ruby",Data Analyst,4 months,Debating Society,No
1047,2.65,Robotics,"Artificial Intelligence, Operating Systems, DevOps, Machine Learning, SQL","C, C++, Ruby",Systems Engineer,15 months,"Student Government, Music Club",Yes
1048,3.88,Robotics,"Web Development, Machine Learning, Artificial Intelligence, SQL","Python, C, R",Data Analyst,8 months,"Art Club, Volunteering",No
1049,3.6,Mechanical Engineering,"Machine Learning, SQL","R, C, C++",Research Assistant,3 months,"Coding Club, Debating Society, Art Club",No
1050,2.65,Mechanical Engineering,"Data Structures & Algorithms (DSA), Computer Networks, Operating Systems, Artificial Intelligence, PostgreSQL",Python,Software Developer,24 months,"Art Club, Sports Club, Coding Club",Yes
1051,2.08,Chemical Engineering,"Web Development, Machine Learning, Operating Systems, Cloud Computing","Java, R, Python",Research Assistant,14 months,"Volunteering, Sports Club, Art Club",No
1052,2.64,Data Science,"DevOps, Web Development",Java,Systems Engineer,18 months,Coding Club,No
1053,3.81,Chemical Engineering,"Data Structures & Algorithms (DSA), SQL, Artificial Intelligence, Machine Learning, Computer Networks","Python, Java, JavaScript",Software Developer,8 months,"Sports Club, Debating Society",Yes
1054,3.15,Robotics,"Cloud Computing, SQL, Operating Systems, Artificial Intelligence","C, C++",Hardware Engineer,17 months,Art Club,Yes
1055,2.45,Chemical Engineering,"Web Development, Cloud Computing, Artificial Intelligence, Machine Learning","R, Ruby",Systems Engineer,18 months,Volunteering,Yes
1056,2.71,Robotics,"SQL, DevOps, Computer Networks, Web Development, Data Structures & Algorithms (DSA)","C, C++",Hardware Engineer,22 months,"Music Club, Student Government",Yes
1057,3.86,Computer Engineering,"Data Structures & Algorithms (DSA), Machine Learning","C, R",Software Developer,18 months,"Music Club, Sports Club, Debating Society",No
1058,3.45,Civil Engineering,"SQL, Computer Networks, Web Development, Data Structures & Algorithms (DSA), Artificial Intelligence","JavaScript, Python",Research Assistant,19 months,"Sports Club, Student Government",Yes
1059,2.81,Chemical Engineering,"Cloud Computing, Operating Systems, Machine Learning",JavaScript,Hardware Engineer,19 months,Sports Club,No
1060,3.91,Robotics,"Cloud Computing, Artificial Intelligence, Computer Networks, DevOps",Ruby,Research Assistant,3 months,"Volunteering, Coding Club",Yes
1061,3.36,Software Engineering,"Web Development, SQL, Artificial Intelligence","R, Java",Research Assistant,13 months,"Volunteering, Debating Society",No
1062,3.76,Mechanical Engineering,"Computer Networks, Web Development, SQL","Python, R",Network Engineer,9 months,"Art Club, Sports Club, Student Government",No
1063,3.95,Electrical Engineering,"Artificial Intelligence, PostgreSQL, Cloud Computing, Computer Networks",R,Data Analyst,5 months,"Debating Society, Volunteering",Yes
1064,3.94,Data Science,"Cloud Computing, PostgreSQL, Operating Systems, Computer Networks","Python, Java, JavaScript",Research Assistant,19 months,"Student Government, Debating Society, Sports Club",No
1065,3.99,Software Engineering,"Computer Networks, PostgreSQL, SQL","Python, C",Systems Engineer,6 months,Sports Club,No
1066,2.46,Software Engineering,"PostgreSQL, Artificial Intelligence, Cloud Computing, Operating Systems","JavaScript, Java, R",Research Assistant,21 months,"Debating Society, Music Club",No
1067,3.01,Computer Engineering,"DevOps, Cloud Computing, Web Development, Artificial Intelligence, SQL","Python, C, R",Hardware Engineer,14 months,"Debating Society, Sports Club",Yes
1068,2.09,Mechanical Engineering,"Artificial Intelligence, SQL","C, R",Hardware Engineer,21 months,Debating Society,Yes
1069,2.51,Software Engineering,"Computer Networks, Operating Systems, Data Structures & Algorithms (DSA), Web Development, Machine Learning",JavaScript,Data Analyst,19 months,"Student Government, Music Club",No
1070,2.08,Electrical Engineering,"Web Development, Operating Systems, PostgreSQL, Cloud Computing, Computer Networks","Java, C++, JavaScript",Network Engineer,17 months,"Debating Society, Music Club",Yes
1071,3.29,Chemical Engineering,"DevOps, Artificial Intelligence",Python,Software Developer,13 months,Sports Club,Yes
1072,2.92,Electrical Engineering,"Computer Networks, SQL, Machine Learning, Cloud Computing, Data Structures & Algorithms (DSA)",Java,Software Developer,21 months,Debating Society,No
1073,3.38,Chemical Engineering,"SQL, Computer Networks, Web Development, DevOps, PostgreSQL","Ruby, Python",Software Developer,20 months,"Volunteering, Art Club, Music Club",No
1074,2.03,Robotics,"DevOps, Machine Learning, Cloud Computing, PostgreSQL, Computer Networks",Java,Data Analyst,24 months,"Student Government, Music Club, Art Club",No
1075,3.84,Chemical Engineering,"Cloud Computing, Data Structures & Algorithms (DSA)","R, C++",Network Engineer,7 months,"Sports Club, Art Club, Debating Society",No
1076,2.94,Software Engineering,"Computer Networks, Operating Systems",C++,Data Analyst,16 months,"Music Club, Sports Club",No
1077,3.53,Civil Engineering,"Cloud Computing, Computer Networks, Data Structures & Algorithms (DSA), DevOps",Python,Systems Engineer,8 months,Debating Society,No
1078,3.07,Chemical Engineering,"Cloud Computing, SQL, DevOps, Machine Learning","C, C++, Ruby",Research Assistant,7 months,Coding Club,Yes
1079,2.76,Information Technology,"PostgreSQL, Data Structures & Algorithms (DSA), SQL, Artificial Intelligence","C, JavaScript",Systems Engineer,15 months,"Student Government, Coding Club",Yes
1080,2.8,Data Science,"Computer Networks, SQL, PostgreSQL, Operating Systems","JavaScript, C, Java",Systems Engineer,24 months,"Art Club, Coding Club",Yes
1081,3.49,Electrical Engineering,"PostgreSQL, Cloud Computing, Data Structures & Algorithms (DSA)","Python, Java",Systems Engineer,12 months,"Debating Society, Volunteering, Sports Club",Yes
1082,2.45,Computer Engineering,"Machine Learning, Computer Networks, Cloud Computing, PostgreSQL",Java,Data Analyst,14 months,Coding Club,Yes
1083,3.16,Chemical Engineering,"Operating Systems, PostgreSQL, SQL, Machine Learning","Java, JavaScript, Ruby",Network Engineer,14 months,"Volunteering, Art Club, Music Club",No
1084,3.63,Computer Engineering,"Computer Networks, Data Structures & Algorithms (DSA), Cloud Computing, Artificial Intelligence",JavaScript,Research Assistant,3 months,"Coding Club, Student Government, Music Club",Yes
1085,3.45,Artificial Intelligence,"SQL, Computer Networks, Data Structures & Algorithms (DSA), Cloud Computing","C, Python",Data Analyst,4 months,"Sports Club, Music Club",No
1086,3.62,Chemical Engineering,"Computer Networks, Operating Systems",Ruby,Hardware Engineer,9 months,Coding Club,Yes
1087,3.86,Information Technology,"Operating Systems, Computer Networks, PostgreSQL","R, Ruby",Research Assistant,11 months,Volunteering,Yes
1088,3.34,Data Science,"Machine Learning, Data Structures & Algorithms (DSA), Operating Systems, Artificial Intelligence","C, Java",Software Developer,16 months,"Debating Society, Sports Club",Yes
1089,3.51,Electrical Engineering,"Data Structures & Algorithms (DSA), Cloud Computing","C++, JavaScript, Python",Hardware Engineer,10 months,"Student Government, Volunteering",No
1090,3.73,Computer Engineering,"PostgreSQL, Computer Networks, Web Development, SQL","R, C++, Ruby",Network Engineer,9 months,Music Club,No
1091,3.24,Chemical Engineering,"Computer Networks, PostgreSQL, Artificial Intelligence","JavaScript, Ruby, C++",Network Engineer,21 months,Student Government,Yes
1092,2.1,Electrical Engineering,"Cloud Computing, DevOps, Artificial Intelligence",R,Data Analyst,12 months,"Volunteering, Coding Club",Yes
1093,3.22,Electrical Engineering,"Operating Systems, SQL, Computer Networks","JavaScript, C",Hardware Engineer,5 months,"Debating Society, Art Club",No
1094,3.55,Data Science,"Cloud Computing, DevOps, PostgreSQL",JavaScript,Systems Engineer,14 months,Debating Society,Yes
1095,3.36,Artificial Intelligence,"SQL, Data Structures & Algorithms (DSA), Web Development, Cloud Computing, Artificial Intelligence","C, Ruby",Network Engineer,6 months,"Coding Club, Sports Club",No
1096,3.69,Software Engineering,"SQL, Data Structures & Algorithms (DSA), Operating Systems, Machine Learning, DevOps","Python, C++, JavaScript",Software Developer,14 months,"Volunteering, Coding Club, Art Club",No
1097,2.84,Electrical Engineering,"Machine Learning, DevOps, SQL, Computer Networks",Ruby,Research Assistant,5 months,"Art Club, Volunteering",No
1098,3.32,Computer Engineering,"Artificial Intelligence, SQL, Operating Systems, DevOps","C, Ruby, Python",Data Analyst,18 months,"Art Club, Coding Club, Sports Club",Yes
1099,2.49,Artificial Intelligence,"Cloud Computing, Computer Networks, Machine Learning, Web Development","Ruby, R",Software Developer,7 months,Volunteering,No
1100,3.9,Information Technology,"Web Development, Data Structures & Algorithms (DSA), PostgreSQL, Operating Systems",JavaScript,Software Developer,18 months,Music Club,Yes
1101,3.62,Chemical Engineering,"Operating Systems, Computer Networks, SQL, Cloud Computing, PostgreSQL","C++, JavaScript, Java",Data Analyst,21 months,"Sports Club, Art Club",Yes
1102,2.55,Information Technology,"Artificial Intelligence, Data Structures & Algorithms (DSA)",R,Network Engineer,13 months,Sports Club,No
1103,2.72,Information Technology,"Computer Networks, PostgreSQL",C,Network Engineer,3 months,"Student Government, Music Club, Coding Club",No
1104,3.31,Software Engineering,"Computer Networks, Cloud Computing","R, Java, JavaScript",Systems Engineer,3 months,"Art Club, Sports Club",No
1105,3.3,Mechanical Engineering,"Computer Networks, Operating Systems, PostgreSQL, Web Development, Artificial Intelligence","Python, Java",Data Analyst,14 months,"Student Government, Art Club",No
1106,3.41,Chemical Engineering,"Operating Systems, DevOps, Data Structures & Algorithms (DSA), Cloud Computing",Java,Research Assistant,19 months,"Volunteering, Student Government, Coding Club",No
1107,3.25,Computer Engineering,"PostgreSQL, Data Structures & Algorithms (DSA), Machine Learning, Web Development, Cloud Computing","C++, Python, Ruby",Network Engineer,7 months,"Volunteering, Coding Club, Sports Club",Yes
1108,2.42,Computer Engineering,"Operating Systems, Web Development, SQL, Machine Learning, PostgreSQL",C++,Research Assistant,17 months,Music Club,Yes
1109,2.79,Software Engineering,"Data Structures & Algorithms (DSA), PostgreSQL","Ruby, Java, Python",Software Developer,20 months,"Art Club, Sports Club, Debating Society",Yes
1110,3.66,Robotics,"Artificial Intelligence, PostgreSQL, Operating Systems, Machine Learning","C++, JavaScript, C",Network Engineer,15 months,"Music Club, Volunteering",No
1111,3.22,Information Technology,"Computer Networks, Data Structures & Algorithms (DSA), Operating Systems, SQL, PostgreSQL","Python, JavaScript, Java",Hardware Engineer,3 months,"Debating Society, Student Government",No
1112,2.98,Civil Engineering,"Web Development, PostgreSQL, Data Structures & Algorithms (DSA)",C++,Software Developer,4 months,"Coding Club, Volunteering, Debating Society",No
1113,2.4,Software Engineering,"Computer Networks, Machine Learning",Java,Software Developer,20 months,"Student Government, Art Club, Debating Society",Yes
1114,3.91,Electrical Engineering,"PostgreSQL, Computer Networks, Web Development, Data Structures & Algorithms (DSA)",JavaScript,Data Analyst,21 months,"Sports Club, Student Government, Debating Society",Yes
1115,3.59,Robotics,"PostgreSQL, Artificial Intelligence, Web Development, DevOps, Data Structures & Algorithms (DSA)",C++,Network Engineer,13 months,"Debating Society, Art Club, Volunteering",Yes
1116,2.88,Artificial Intelligence,"DevOps, SQL, Data Structures & Algorithms (DSA)",Python,Network Engineer,4 months,"Coding Club, Volunteering, Sports Club",Yes
1117,3.33,Mechanical Engineering,"Computer Networks, Web Development, Operating Systems, SQL","Java, Python",Research Assistant,13 months,"Music Club, Sports Club, Debating Society",Yes
1118,2.31,Electrical Engineering,"SQL, Operating Systems","R, Ruby",Data Analyst,8 months,Sports Club,No
1119,2.32,Artificial Intelligence,"SQL, Data Structures & Algorithms (DSA), Artificial Intelligence, Machine Learning, Cloud Computing",R,Research Assistant,4 months,"Coding Club, Volunteering",No
1120,3.36,Mechanical Engineering,"Artificial Intelligence, Machine Learning, PostgreSQL, Data Structures & Algorithms (DSA), Operating Systems",Python,Data Analyst,11 months,Art Club,Yes
1121,2.24,Information Technology,"Operating Systems, Artificial Intelligence, Cloud Computing, PostgreSQL","Java, Python",Research Assistant,6 months,"Debating Society, Volunteering",No
1122,3.66,Chemical Engineering,"PostgreSQL, Web Development, Machine Learning","Ruby, C, R",Hardware Engineer,17 months,Sports Club,No
1123,3.75,Artificial Intelligence,"Data Structures & Algorithms (DSA), Machine Learning","Python, Ruby",Research Assistant,24 months,Coding Club,Yes
1124,3.79,Information Technology,"DevOps, Data Structures & Algorithms (DSA), Web Development, Operating Systems, Machine Learning",R,Network Engineer,24 months,"Debating Society, Sports Club, Student Government",No
1125,2.09,Information Technology,"Computer Networks, Cloud Computing, Machine Learning","JavaScript, Java",Research Assistant,10 months,"Sports Club, Coding Club",No
1126,3.39,Information Technology,"Artificial Intelligence, Operating Systems, Machine Learning","JavaScript, C++, R",Hardware Engineer,11 months,"Debating Society, Volunteering, Student Government",Yes
1127,2.23,Data Science,"PostgreSQL, Data Structures & Algorithms (DSA)","Ruby, Java",Software Developer,5 months,"Music Club, Volunteering, Sports Club",No
1128,2.64,Civil Engineering,"Operating Systems, Computer Networks",C,Data Analyst,4 months,Art Club,Yes
1129,2.8,Artificial Intelligence,"Artificial Intelligence, Machine Learning, Cloud Computing","Java, Python, Ruby",Research Assistant,14 months,"Art Club, Music Club, Volunteering",Yes
1130,3.25,Data Science,"DevOps, PostgreSQL, Artificial Intelligence, Data Structures & Algorithms (DSA)","R, C",Research Assistant,16 months,Sports Club,Yes
1131,2.13,Information Technology,"Machine Learning, Cloud Computing, Data Structures & Algorithms (DSA), SQL","Ruby, C, JavaScript",Software Developer,15 months,Debating Society,No
1132,3.88,Mechanical Engineering,"Machine Learning, Cloud Computing, Operating Systems, SQL, PostgreSQL","Java, JavaScript",Research Assistant,8 months,"Music Club, Volunteering, Sports Club",Yes
1133,2.3,Robotics,"Artificial Intelligence, Data Structures & Algorithms (DSA), Cloud Computing","C++, Ruby",Systems Engineer,6 months,"Coding Club, Volunteering, Debating Society",No
1134,2.15,Computer Engineering,"SQL, Data Structures & Algorithms (DSA), DevOps, PostgreSQL","C++, Ruby, JavaScript",Data Analyst,22 months,Volunteering,No
1135,3.48,Information Technology,"Computer Networks, SQL, DevOps","Java, C",Systems Engineer,4 months,"Music Club, Art Club",Yes
1136,2.37,Mechanical Engineering,"Computer Networks, PostgreSQL, Machine Learning",JavaScript,Data Analyst,3 months,"Volunteering, Art Club",No
1137,2.41,Robotics,"Cloud Computing, SQL, Operating Systems",Python,Research Assistant,21 months,Coding Club,No
1138,2.97,Artificial Intelligence,"Artificial Intelligence, Web Development","R, Python, Java",Software Developer,12 months,Music Club,No
1139,2.81,Data Science,"PostgreSQL, Computer Networks, SQL",Java,Network Engineer,8 months,Student Government,Yes
1140,3.99,Robotics,"Web Development, PostgreSQL, Cloud Computing","JavaScript, Python",Network Engineer,20 months,"Music Club, Student Government, Sports Club",No
1141,3.07,Software Engineering,"Cloud Computing, Artificial Intelligence, Web Development, SQL","JavaScript, R",Systems Engineer,22 months,Music Club,Yes
1142,3.6,Data Science,"SQL, Data Structures & Algorithms (DSA)",Python,Network Engineer,3 months,Music Club,Yes
1143,2.24,Chemical Engineering,"Web Development, Cloud Computing, PostgreSQL","Java, R, C++",Network Engineer,21 months,"Sports Club, Volunteering",Yes
1144,3.69,Artificial Intelligence,"Machine Learning, Cloud Computing, Artificial Intelligence, DevOps",JavaScript,Systems Engineer,5 months,"Sports Club, Music Club, Volunteering",Yes
1145,3.62,Electrical Engineering,"Computer Networks, DevOps","Ruby, R, JavaScript",Hardware Engineer,11 months,Volunteering,Yes
1146,2.14,Robotics,"DevOps, Operating Systems, Data Structures & Algorithms (DSA), Web Development","Python, R",Network Engineer,20 months,Art Club,Yes
1147,3.83,Electrical Engineering,"Data Structures & Algorithms (DSA), PostgreSQL, Machine Learning, Web Development, DevOps","C, C++",Data Analyst,24 months,"Debating Society, Coding Club",No
1148,2.95,Information Technology,"Cloud Computing, Artificial Intelligence, SQL, DevOps, Operating Systems","R, JavaScript, Python",Network Engineer,10 months,Volunteering,No
1149,3.18,Chemical Engineering,"Web Development, Machine Learning, SQL",R,Systems Engineer,7 months,"Art Club, Volunteering",No
1150,2.23,Software Engineering,"Cloud Computing, PostgreSQL, Machine Learning","C++, Python, C",Software Developer,18 months,"Sports Club, Debating Society, Student Government",Yes
1151,3.04,Computer Engineering,"SQL, DevOps, Artificial Intelligence","Java, R",Systems Engineer,4 months,"Art Club, Coding Club, Volunteering",No
1152,3.38,Computer Engineering,"Web Development, Machine Learning, SQL, Computer Networks, Artificial Intelligence",R,Hardware Engineer,3 months,"Debating Society, Volunteering",No
1153,3.13,Information Technology,"Machine Learning, PostgreSQL, DevOps","JavaScript, C, C++",Hardware Engineer,4 months,"Sports Club, Student Government",Yes
1154,2.14,Computer Engineering,"SQL, DevOps, Cloud Computing, Data Structures & Algorithms (DSA), PostgreSQL","C++, C",Software Developer,16 months,"Art Club, Sports Club, Debating Society",No
1155,2.47,Data Science,"SQL, Machine Learning, Computer Networks, DevOps","Python, C++, JavaScript",Hardware Engineer,17 months,"Sports Club, Music Club",No
1156,2.28,Information Technology,"SQL, DevOps, PostgreSQL, Operating Systems","C, C++",Hardware Engineer,20 months,"Volunteering, Coding Club, Music Club",Yes
1157,3.47,Information Technology,"Cloud Computing, Computer Networks","Java, R, Ruby",Network Engineer,22 months,"Art Club, Student Government",No
1158,2.62,Artificial Intelligence,"Web Development, Machine Learning, Data Structures & Algorithms (DSA), Artificial Intelligence, Operating Systems","C, R",Hardware Engineer,12 months,"Student Government, Music Club, Sports Club",No
1159,3.8,Data Science,"Cloud Computing, DevOps, Data Structures & Algorithms (DSA)",Ruby,Network Engineer,6 months,"Debating Society, Art Club, Student Government",Yes
1160,3.42,Software Engineering,"SQL, Artificial Intelligence, Machine Learning, PostgreSQL","R, Java, JavaScript",Software Developer,4 months,"Sports Club, Art Club",No
1161,3.39,Electrical Engineering,"Computer Networks, Machine Learning, PostgreSQL, Operating Systems, Cloud Computing","Ruby, R, Java",Systems Engineer,7 months,"Coding Club, Sports Club, Music Club",No
1162,2.03,Artificial Intelligence,"Machine Learning, SQL, Web Development","R, JavaScript",Software Developer,11 months,"Art Club, Volunteering",Yes
1163,2.6,Artificial Intelligence,"Operating Systems, Computer Networks, DevOps, SQL, Cloud Computing","Ruby, C++",Software Developer,13 months,"Art Club, Volunteering",Yes
1164,2.48,Information Technology,"Cloud Computing, Web Development","R, Python, JavaScript",Network Engineer,9 months,"Music Club, Sports Club",No
1165,3.72,Artificial Intelligence,"Cloud Computing, Artificial Intelligence","JavaScript, C",Network Engineer,20 months,Art Club,Yes
1166,2.19,Data Science,"Web Development, Artificial Intelligence",C,Systems Engineer,8 months,"Music Club, Art Club, Debating Society",Yes
1167,2.14,Mechanical Engineering,"Computer Networks, Operating Systems, PostgreSQL, Data Structures & Algorithms (DSA)","Java, Python, JavaScript",Hardware Engineer,17 months,"Student Government, Sports Club",Yes
1168,2.32,Software Engineering,"Cloud Computing, Data Structures & Algorithms (DSA), Operating Systems, Web Development",Ruby,Hardware Engineer,18 months,"Student Government, Music Club",Yes
1169,2.19,Robotics,"SQL, Cloud Computing, DevOps","Java, Python",Software Developer,21 months,"Volunteering, Coding Club, Student Government",No
1170,3.49,Computer Engineering,"Web Development, Computer Networks, DevOps, Machine Learning, SQL","JavaScript, Python, C",Network Engineer,10 months,"Coding Club, Volunteering",No
1171,2.45,Computer Engineering,"Web Development, Computer Networks",Java,Network Engineer,24 months,"Coding Club, Volunteering, Sports Club",No
1172,3.95,Robotics,"Machine Learning, Artificial Intelligence, Computer Networks, DevOps","R, Java",Research Assistant,23 months,Student Government,Yes
1173,2.18,Software Engineering,"Cloud Computing, Machine Learning","JavaScript, C, C++",Software Developer,22 months,Music Club,No
1174,2.9,Mechanical Engineering,"SQL, Computer Networks","C, R",Software Developer,22 months,"Music Club, Sports Club, Art Club",No
1175,3.21,Electrical Engineering,"SQL, Artificial Intelligence, Data Structures & Algorithms (DSA), Machine Learning, Operating Systems",C,Research Assistant,11 months,"Debating Society, Art Club, Music Club",No
1176,2.67,Information Technology,"Cloud Computing, Computer Networks, PostgreSQL",C,Systems Engineer,6 months,"Coding Club, Sports Club",Yes
1177,2.16,Computer Engineering,"SQL, Data Structures & Algorithms (DSA), Artificial Intelligence, DevOps","Ruby, JavaScript",Hardware Engineer,10 months,"Debating Society, Coding Club",Yes
1178,2.72,Computer Engineering,"SQL, Artificial Intelligence, PostgreSQL, Operating Systems","R, C++",Research Assistant,16 months,Art Club,Yes
1179,3.82,Electrical Engineering,"PostgreSQL, Machine Learning","Java, C",Systems Engineer,8 months,"Sports Club, Art Club, Student Government",Yes
1180,2.75,Civil Engineering,"Machine Learning, Web Development","C, Python",Hardware Engineer,11 months,"Coding Club, Art Club",Yes
1181,2.9,Chemical Engineering,"Machine Learning, Operating Systems, Artificial Intelligence, PostgreSQL","Ruby, Python",Data Analyst,18 months,"Coding Club, Volunteering, Sports Club",No
1182,3.84,Software Engineering,"Cloud Computing, Machine Learning","Python, Java",Research Assistant,14 months,"Art Club, Student Government",No
